4,0.02,5,4,true,100.0,5,0.009
5,0.119,76,5,false,52.459016393442624,15,0.028
4,0.013,5,4,true,100.0,5,0.008
5,0.069,76,5,false,52.459016393442624,15,0.014
5,0.082,76,5,false,52.459016393442624,15,0.019
5,0.292,76,5,false,52.459016393442624,15,0.109
5,0.277,76,5,false,52.459016393442624,15,0.112
5,0.069,45,5,false,44.26229508196721,7,0.011
5,0.21,45,5,false,44.26229508196721,7,0.088
5,0.119,76,5,false,52.459016393442624,15,0.024
7,1.126,1544,7,false,91.13924050632912,29,0.017
5,0.167,101,5,false,68.75,45,0.086
5,0.18,6,5,true,100.0,6,0.131
5,0.133,6,5,true,100.0,6,0.084
5,0.457,180,5,false,96.875,5,0.038
5,0.406,180,5,false,96.875,5,0.035
5,0.327,148,5,false,96.875,79,0.193
5,0.348,148,5,false,96.875,79,0.221
5,0.564,148,5,false,96.875,79,0.299
5,0.169,148,5,false,96.875,79,0.094
5,0.356,148,5,false,96.875,79,0.219
5,0.337,148,5,false,97.2972972972973,52,0.157
5,0.354,148,5,false,97.2972972972973,52,0.161
5,0.381,148,5,false,97.2972972972973,52,0.153
5,0.362,148,5,false,97.2972972972973,52,0.145
5,0.297,148,5,false,97.2972972972973,52,0.127
20,242.054,65001,20,false,37.87234042553192,52441,158.562
26,13.746,15268,26,false,16.74718196457327,4030,3.842
8,8.399,6393,8,false,73.03754266211604,4187,5.261
9,2.093,3211,9,false,49.69512195121951,254,0.21
10,5.198,5909,10,false,62.544169611307424,309,0.141
11,27.197,15279,11,false,60.766961651917406,3787,2.999
12,4.421,6253,12,false,31.23644251626898,4230,2.444
13,40.229,24680,13,false,44.33497536945813,20827,30.516
14,47.234,30402,14,false,44.166666666666664,5937,3.786
15,86.118,49180,15,false,40.79254079254079,16476,13.875
16,115.626,65001,16,false,43.415637860082306,49596,67.402
20,107.222,65001,20,false,30.48048048048048,39845,50.677
19,74.332,44759,19,false,29.13907284768212,33530,40.977
18,133.606,65001,18,false,40.66115702479339,635,1.108
17,74.745,36336,17,false,33.559322033898304,17128,24.098
16,140.485,65001,16,false,43.415637860082306,49596,85.173
18,136.439,65001,18,false,40.66115702479339,635,1.041
18,123.179,65001,18,false,40.66115702479339,635,1.072
20,110.241,65001,20,false,30.48048048048048,39845,51.162
20,120.985,65001,20,false,30.48048048048048,39845,59.5
20,28.51,65001,20,false,30.48048048048048,39845,18.9
10,0.913,721,10,false,51.590106007067135,44,0.129
10,1.16,721,10,false,51.590106007067135,44,0.169
10,1.238,721,10,false,51.590106007067135,44,0.16
5,0.219,76,5,false,49.382716049382715,58,0.156
9,0.28,298,9,false,36.890243902439025,110,0.106
15,3.18,3322,15,false,29.603729603729604,853,1.029
15,2.141,3322,15,false,29.603729603729604,853,0.719
13,0.381,328,13,false,24.38423645320197,199,0.246
14,14.709,30402,14,false,44.166666666666664,5937,4.194
14,15.106,30402,14,false,44.166666666666664,5937,5.073
14,13.304,30402,14,false,44.166666666666664,5937,3.464
14,14.486,30402,14,false,44.166666666666664,5937,2.537
